nest,nest_letter,forest,forest_binary,pit,pit_letter,initiation_clutch,sample_ID,sample,year,river,period,outcome,s_f,dect_days,type,sample_time_hours,sample_elapsed_min,tol,mass,smi,testosterone,testosterone_limit,testosterone_nada,dht,dht_limit,dht_nada,cortisol,cortisol_limit,cortisol_detected,cortisol_nada,corticosterone,corticosterone_limit,corticosterone_nada,leeches,leeches_binomial,run,run_year
10_13,A,64.3,high,659003,A,442,194,194,2013,s,one month,success,1,23,t0,12.06,1.67,41.2,495,487.68,0.2,1,TRUE,1,1,TRUE,0.8,1,0,TRUE,0.8,1,TRUE,6,1,1,2019
10_13,A,64.3,high,659003,A,442,271,271,2013,s,initiation,success,1,0,t0,12.07,1.82,40.8,480,487.24,3.77,0,FALSE,3.5697,0,FALSE,4.2888,0,1,FALSE,0.8,1,TRUE,3,1,1,2019
10_15,B,64.3,high,788628,B,232,149,149,2015,s,initiation,success,1,0,t60,16.1,65.82,42.7,490,432.66,5.8,0,FALSE,5.4558,0,FALSE,4.9479,0,1,FALSE,0.8,1,TRUE,10,1,1,2019
10_15,B,64.3,high,788628,B,232,269,269,2015,s,initiation,success,1,0,t0,16,1.82,42.7,490,432.66,5.02,0,FALSE,3.8679,0,FALSE,0.8,1,0,TRUE,0.8,1,TRUE,10,1,1,2019
10_16,C,64.3,high,788628,B,605,140,140,2016,s,one month,cannibal,0,40,t60,14.27,62.33,43.5,630,525.52,0.2,1,TRUE,1,1,TRUE,4.8006,0,1,FALSE,1.0279,0,FALSE,3,1,1,2019
10_16,C,64.3,high,788628,B,605,171,171,2016,s,one month,cannibal,0,40,t0,13.27,2.57,43.5,630,525.52,0.2,1,TRUE,1,1,TRUE,0.8,1,0,TRUE,0.8,1,TRUE,3,1,2,2019
104_14,D,55.2,low,75768,C,627,126,126_3,2014,m,one month,cannibal,0,29,t60,12.61,62.62,49.2,705,403.29,0.2,1,TRUE,1,1,TRUE,14.0586,0,1,FALSE,5.1992,0,FALSE,0,0,3,2022
104_14,D,55.2,low,75768,C,627,162,162_3,2014,m,initiation,cannibal,0,0,t0,11.36,1.82,50.2,700,376.49,12.162,0,FALSE,9.4013,0,FALSE,0.8,1,0,TRUE,0.8,1,TRUE,0,0,3,2022
104_14,D,55.2,low,75768,C,627,220,220_3,2014,m,one month,cannibal,0,29,t0,11.58,0.82,49.2,705,403.29,0.2,1,TRUE,1,1,TRUE,1.4384,0,1,FALSE,0.8,1,TRUE,0,0,3,2022
106_17,E,55.2,low,842110,D,240,149,149_3,2017,m,one month,cannibal,0,32,t60,11.53,61.5,53.6,890,391.61,0.2,1,TRUE,1,1,TRUE,7.4284,0,1,FALSE,0.8,1,TRUE,0,0,3,2022
106_17,E,55.2,low,842110,D,240,229,229_3,2017,m,initiation,cannibal,0,3,t60,15.63,61.17,53.3,860,384.98,0.4289,0,FALSE,1,1,TRUE,3.8595,0,1,FALSE,0.8,1,TRUE,0,0,3,2022
106_17,E,55.2,low,842110,D,240,231,231_3,2017,m,initiation,cannibal,0,3,t0,14.64,1.53,53.3,860,384.98,0.2,1,TRUE,1,1,TRUE,0.8,1,0,TRUE,0.8,1,TRUE,0,0,3,2022
106_17,E,55.2,low,842110,D,240,99,99_3,2017,m,one month,cannibal,0,32,t0,10.55,2.75,53.6,890,391.61,0.2,1,TRUE,1,1,TRUE,0.8,1,0,TRUE,0.8,1,TRUE,0,0,3,2022
107_21,F,55.2,low,566257,E,402,120,120_3,2021,m,one month,cannibal,0,25,t0,11.18,1.47,56.1,1180,451.54,0.2,1,TRUE,1,1,TRUE,0.8,1,0,TRUE,0.8,1,TRUE,0,0,3,2022
107_21,F,55.2,low,566257,E,402,133,133_3,2021,m,initiation,cannibal,0,1,t60,11.37,67.3,55.3,1080,431.87,20.4669,0,FALSE,12.3823,0,FALSE,3.8777,0,1,FALSE,0.8,1,TRUE,0,0,3,2022
107_21,F,55.2,low,566257,E,402,197,197_3,2021,m,initiation,cannibal,0,1,t0,10.3,3.15,55.3,1080,431.87,18.2172,0,FALSE,7.3395,0,FALSE,0.8,1,0,TRUE,0.8,1,TRUE,0,0,3,2022
107_21,F,55.2,low,566257,E,402,32,32_3,2021,m,one month,cannibal,0,25,t60,12.24,64.65,56.1,1180,451.54,0.2,1,TRUE,1,1,TRUE,9.3045,0,1,FALSE,4.2275,0,FALSE,0,0,3,2022
135_14,G,64.3,high,672688,F,339,19,19,2014,s,one month,success,1,30,t0,12.71,2.97,33.2,275,524.92,0.29,0,FALSE,1,1,TRUE,0.8,1,0,TRUE,0.8,1,TRUE,0,0,1,2019
